iter	Logloss
0	0.6101264061
1	0.5341230021
2	0.4752467396
3	0.4280446349
4	0.3893889676
5	0.3511028058
6	0.3203606982
7	0.2980860287
8	0.2732045023
9	0.2537455208
10	0.2319698446
11	0.2150683853
12	0.1991507894
13	0.1875790844
14	0.1746186689
15	0.1641477163
16	0.15489977
17	0.1448380061
18	0.1363102397
19	0.1286448948
20	0.122275907
21	0.1155669928
22	0.1090047368
23	0.103191456
24	0.09861832048
25	0.09441575384
26	0.09109778296
27	0.08781431477
28	0.08470173303
29	0.08272702755
30	0.08014306117
31	0.07768841655
32	0.07488760751
33	0.07243455239
34	0.07008289434
35	0.06843188757
36	0.06583534063
37	0.06392736898
38	0.06174508364
39	0.05973412743
40	0.05793602739
41	0.05601651455
42	0.05420921519
43	0.0525853069
44	0.05065161122
45	0.04935686612
46	0.04785149586
47	0.0466382458
48	0.04539080003
49	0.04449950665
