iter	Passed	Remaining
0	286	14015
1	381	9156
2	477	7481
3	575	6620
4	671	6045
5	783	5745
6	892	5480
7	993	5216
8	1095	4991
9	1200	4800
10	1350	4786
11	1461	4628
12	1562	4446
13	1664	4279
14	1760	4107
15	1857	3947
16	1963	3811
17	2062	3667
18	2166	3534
19	2268	3402
20	2369	3272
21	2470	3144
22	2569	3015
23	2670	2893
24	2769	2769
25	2870	2649
26	2972	2532
27	3071	2413
28	3174	2298
29	3273	2182
30	3373	2067
31	3477	1956
32	3577	1843
33	3679	1731
34	3779	1619
35	3880	1509
36	3978	1397
37	4077	1287
38	4179	1178
39	4281	1070
40	4379	961
41	4478	853
42	4579	745
43	4678	637
44	4777	530
45	4876	424
46	4976	317
47	5072	211
48	5169	105
49	5262	0
